site,survey_id,date,site_type,cots,mean_size_cm,mean_depth_m,survey_area_ha,cots_density_ha,SST
Green Rock Wall,GR1,2020-05-19,High Density,9,42.55555555555556,9.944444444444445,0.2,45,31.39699935913086
Green Rock Wall,GR10,2020-08-18,High Density,9,35.55555555555556,11.61111111111111,0.2,45,30.150999069213867
Green Rock Wall,GR11,2020-08-21,High Density,4,42.5,11.5,0.2,20,29.968000411987305
Green Rock Wall,GR12,2020-08-21,High Density,6,34.166666666666664,7.583333333333333,0.2,30,29.968000411987305
Green Rock Wall,GR13,2020-09-22,High Density,8,45,9.75,0.2,40,29.763999938964844
Green Rock Wall,GR14,2020-09-27,High Density,9,43.888888888888886,10.777777777777779,0.2,45,30.257999420166016
Green Rock Wall,GR15,2020-09-29,High Density,9,41.666666666666664,10.055555555555555,0.2,45,29.594999313354492
Green Rock Wall,GR16,2022-10-20,High Density,10,37.5,11.3,0.2,50,28.364999771118164
Green Rock Wall,GR17,2022-11-22,High Density,6,40.833333333333336,13.266666666666666,0.2,30,28.34600067138672
Green Rock Wall,GR18,2023-10-04,High Density,5,40,13.4,0.2,25,29.115999221801758
Green Rock Wall,GR19,2024-02-03,High Density,3,40,10.4,0.2,15,29.20400047302246
Green Rock Wall,GR2,2020-05-19,High Density,10,37,10.13,0.2,50,31.39699935913086
Green Rock Wall,GR20,2024-02-20,High Density,11,46.36363636363637,9.727272727272727,0.2,55,29.298999786376953
Green Rock Wall,GR21,2024-03-25,High Density,5,40,12.2,0.2,25,29.767000198364258
Green Rock Wall,GR22,2024-04-09,High Density,7,50.142857142857146,9.857142857142858,0.2,35,30.674999237060547
Green Rock Wall,GR23,2024-04-16,High Density,8,49.25,12.375,0.2,40,31.201000213623047
Green Rock Wall,GR24,2024-06-04,High Density,8,45.875,11.85,0.2,40,31.54400062561035
Green Rock Wall,GR25,2024-08-03,High Density,6,45,10.5,0.2,30,29.940000534057617
Green Rock Wall,GR26,2024-08-26,High Density,14,47.142857142857146,11.114285714285714,0.2,70,30.496000289916992
Green Rock Wall,GR27,2024-10-16,High Density,11,43.36363636363637,12.045454545454545,0.2,55,30.746000289916992
Green Rock Wall,GR28,2024-10-21,High Density,4,36.5,12.75,0.2,20,29.77400016784668
Green Rock Wall,GR29,2025-01-29,High Density,9,41.611111111111114,12.177777777777777,0.2,45,27.211999893188477
Green Rock Wall,GR3,2020-05-26,High Density,10,35.5,10.9,0.2,50,31.150999069213867
Green Rock Wall,GR30,2025-02-19,High Density,4,49.5,11.15,0.2,20,27.211999893188477
Green Rock Wall,GR31,2025-02-28,High Density,3,41,9.8,0.2,15,27.211999893188477
Green Rock Wall,GR32,2025-03-19,High Density,4,37.25,10.625,0.2,20,27.211999893188477
Green Rock Wall,GR33,2025-03-26,High Density,10,44.5,10.93,0.2,50,27.211999893188477
Green Rock Wall,GR34,2025-04-22,High Density,2,46.5,8.45,0.2,10,27.211999893188477
Green Rock Wall,GR35,2025-05-21,High Density,4,47.5,11,0.2,20,27.211999893188477
Green Rock Wall,GR36,2025-06-05,High Density,11,42.18181818181818,11.554545454545455,0.2,55,27.211999893188477
Green Rock Wall,GR37,2025-09-16,High Density,16,43.125,9.70625,0.2,80,27.211999893188477
Green Rock Wall,GR38,2025-09-16,High Density,11,44.18181818181818,9.8,0.2,55,27.211999893188477
Green Rock Wall,GR39,2025-10-21,High Density,3,44.666666666666664,12.966666666666667,0.2,15,27.211999893188477
Green Rock Wall,GR4,2020-07-13,High Density,11,36.81818181818182,10.454545454545455,0.2,55,30.141000747680664
Green Rock Wall,GR40,2026-01-19,High Density,6,38.5,11.716666666666667,0.2,30,27.211999893188477
Green Rock Wall,GR41,2026-02-10,High Density,11,45.09090909090909,9.3,0.2,55,27.211999893188477
Green Rock Wall,GR42,2026-03-19,High Density,4,51.25,10.825,0.2,20,27.211999893188477
Green Rock Wall,GR43,2026-04-15,High Density,2,34.5,11.149999999999999,0.2,10,27.211999893188477
Green Rock Wall,GR44,2026-05-22,High Density,2,51,13,0.2,10,27.211999893188477
Green Rock Wall,GR5,2020-07-13,High Density,9,40,10.055555555555555,0.2,45,30.141000747680664
Green Rock Wall,GR6,2020-07-19,High Density,3,40,9.833333333333334,0.2,15,30.361000061035156
Green Rock Wall,GR7,2020-08-06,High Density,8,33.75,9.8125,0.2,40,29.945999145507812
Green Rock Wall,GR8,2020-08-15,High Density,7,38.57142857142857,11.571428571428571,0.2,35,29.79800033569336
Green Rock Wall,GR9,2020-08-16,High Density,7,37.857142857142854,9.5,0.2,35,29.840999603271484
Red Rock Wall,RR1,2023-04-01,High Density,5,42,10,0.2,25,29.663999557495117
Red Rock Wall,RR10,2024-05-25,High Density,8,49.875,11.375,0.2,40,30.738000869750977
Red Rock Wall,RR11,2024-07-04,High Density,6,42.916666666666664,11.083333333333334,0.2,30,30.187000274658203
Red Rock Wall,RR12,2024-08-14,High Density,8,42.125,12.75,0.2,40,30.38599967956543
Red Rock Wall,RR13,2024-08-25,High Density,8,46.125,9.625,0.2,40,30.04400062561035
Red Rock Wall,RR14,2024-09-04,High Density,7,44,10.357142857142858,0.2,35,30.054000854492188
Red Rock Wall,RR15,2024-09-12,High Density,6,40.666666666666664,11.366666666666667,0.2,30,29.632999420166016
Red Rock Wall,RR16,2024-10-21,High Density,2,48.5,10.85,0.2,10,29.77400016784668
Red Rock Wall,RR17,2025-01-29,High Density,4,38.5,10.375,0.2,20,27.211999893188477
Red Rock Wall,RR18,2025-02-12,High Density,5,46.6,10.48,0.2,25,27.211999893188477
Red Rock Wall,RR19,2025-04-08,High Density,5,46.4,9.76,0.2,25,27.211999893188477
Red Rock Wall,RR2,2023-05-03,High Density,10,43,10.7,0.2,50,30.770000457763672
Red Rock Wall,RR20,2025-05-21,High Density,8,47.375,13.1625,0.2,40,27.211999893188477
Red Rock Wall,RR21,2025-05-26,High Density,6,48.166666666666664,11.033333333333333,0.2,30,27.211999893188477
Red Rock Wall,RR22,2025-06-05,High Density,11,41,12.836363636363636,0.2,55,27.211999893188477
Red Rock Wall,RR23,2025-06-11,High Density,5,46.8,11.22,0.2,25,27.211999893188477
Red Rock Wall,RR24,2025-06-25,High Density,8,38.325,9,0.2,40,27.211999893188477
Red Rock Wall,RR25,2025-09-16,High Density,5,37.4,14.9,0.2,25,27.211999893188477
Red Rock Wall,RR26,2025-09-16,High Density,3,36,10.833333333333334,0.2,15,27.211999893188477
Red Rock Wall,RR27,2025-10-07,High Density,7,42.42857142857143,13.7,0.2,35,27.211999893188477
Red Rock Wall,RR28,2026-01-19,High Density,9,50,9.11111111111111,0.2,45,27.211999893188477
Red Rock Wall,RR29,2026-02-10,High Density,7,42.57142857142857,10.242857142857142,0.2,35,27.211999893188477
Red Rock Wall,RR3,2023-10-01,High Density,3,42.666666666666664,10.666666666666666,0.2,15,29.16200065612793
Red Rock Wall,RR30,2026-03-02,High Density,6,47.5,16.016666666666666,0.2,30,27.211999893188477
Red Rock Wall,RR30,2026-04-15,High Density,6,44.833333333333336,10.616666666666667,0.2,30,27.211999893188477
Red Rock Wall,RR31,2026-05-22,High Density,4,44.25,8.725,0.2,20,27.211999893188477
Red Rock Wall,RR4,2023-09-30,High Density,5,40.2,11.6,0.2,25,29.371999740600586
Red Rock Wall,RR5,2023-10-04,High Density,3,38.333333333333336,13,0.2,15,29.115999221801758
Red Rock Wall,RR6,2024-01-31,High Density,6,44.166666666666664,10.75,0.2,30,28.423999786376953
Red Rock Wall,RR7,2024-03-24,High Density,3,51.666666666666664,12.333333333333334,0.2,15,29.7450008392334
Red Rock Wall,RR8,2024-04-06,High Density,2,55,12.5,0.2,10,30.56800079345703
Red Rock Wall,RR9,2024-05-21,High Density,6,44.166666666666664,12.166666666666666,0.2,30,31.270000457763672
Twins Wall,TW1,2024-09-11,High Density,15,40.86666666666667,10.48,0.2,75,29.780000686645508
Twins Wall,TW10,2025-06-16,High Density,6,44.333333333333336,7.916666666666666,0.2,30,27.211999893188477
Twins Wall,TW10,2026-04-21,High Density,1,51,10.2,0.2,5,27.211999893188477
Twins Wall,TW11,2025-06-26,High Density,9,43.55555555555556,9.5,0.2,45,27.211999893188477
Twins Wall,TW11,2026-05-11,High Density,1,NA,NA,0.2,5,27.211999893188477
Twins Wall,TW12,2025-08-06,High Density,11,49.27272727272727,8.418181818181818,0.2,55,27.211999893188477
Twins Wall,TW13,2025-08-14,High Density,8,43.25,10.5125,0.2,40,27.211999893188477
Twins Wall,TW14,2025-09-04,High Density,9,41.333333333333336,9.922222222222222,0.2,45,27.211999893188477
Twins Wall,TW15,2025-10-07,High Density,3,43.666666666666664,9.133333333333333,0.2,15,27.211999893188477
Twins Wall,TW2,2025-01-28,High Density,6,32.166666666666664,7.833333333333333,0.2,30,27.211999893188477
Twins Wall,TW3,2025-02-04,High Density,5,38.2,5.86,0.2,25,27.211999893188477
Twins Wall,TW4,2025-02-10,High Density,1,30,7.2,0.2,5,27.211999893188477
Twins Wall,TW5,2025-02-12,High Density,9,42.22222222222222,6.977777777777778,0.2,45,27.211999893188477
Twins Wall,TW6,2025-03-04,High Density,3,43,8.766666666666666,0.2,15,27.211999893188477
Twins Wall,TW6,2026-02-09,High Density,2,44,9.95,0.2,10,27.211999893188477
Twins Wall,TW7,2025-03-24,High Density,2,42.5,8.75,0.2,10,27.211999893188477
Twins Wall,TW7,2026-02-09,High Density,1,40,10.5,0.2,5,27.211999893188477
Twins Wall,TW8,2025-03-24,High Density,3,42.333333333333336,6.6,0.2,15,27.211999893188477
Twins Wall,TW8,2025-04-01,High Density,3,48.333333333333336,6.5,0.2,15,27.211999893188477
Twins Wall,TW8,2026-02-24,High Density,3,49.666666666666664,9.533333333333333,0.2,15,27.211999893188477
Twins Wall,TW9,2025-05-12,High Density,10,47.4,7.78,0.2,50,27.211999893188477
Twins Wall,TW9,2026-03-16,High Density,8,43.5,9.3125,0.2,40,27.211999893188477
