site,site_code,site_type,survey_id,date,cots_count,mean_size_cm,mean_depth_m,avg_survey_depth_m,duration_min,vis_m,area_ha,cots_ha,temp_c,temp_source
Aow Leuk,AL,Control,AL1,2025-02-28,1,37,10.5,9,25,10,0.2,5,28.246647516886394,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL10,2025-06-24,2,34,9.55,9,53,6,0.2,10,29.990393956502277,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL11,2025-08-07,0,NA,NA,6.6,16,20,0.2,0,30.214934666951496,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL12,2025-08-11,0,NA,NA,8.3,18,20,0.2,0,30.103479385375977,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL13,2025-08-28,1,56,7.5,8.4,20,12,0.2,5,29.657599767049152,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL14,2025-09-01,2,38,9,8.7,17,8,0.2,10,29.461589813232422,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL15,2025-09-25,0,NA,NA,8,14,15,0.2,0,29.582675298055012,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL16,2025-10-07,3,25,8.2,7.1,25,10,0.2,15,29.62517738342285,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL17,2026-02-10,2,33.5,9.149999999999999,7.5,30,6,0.2,10,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL18,2026-04-20,3,27,9.2,9,24,8,0.2,15,30.950791041056316,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL19,2026-05-12,0,NA,NA,7.7,25,2,0.2,0,30.500207265218098,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL2,2025-03-05,2,32,8.899999999999999,7,22,10,0.2,10,29.215516408284504,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL3,2025-03-05,0,NA,NA,7.6,24,10,0.2,0,29.215516408284504,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL4,2025-03-13,3,28.333333333333332,8.866666666666667,8,20,8,0.2,15,29.11518732706706,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL5,2025-04-21,1,38,9.2,6.8,25,18,0.2,5,30.595685958862305,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL6,2025-04-21,0,NA,NA,6.8,25,18,0.2,0,30.595685958862305,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL7,2025-04-16,3,43.333333333333336,9.233333333333334,7.3,61,10,0.2,15,30.165077845255535,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL8,2025-04-16,3,46.666666666666664,8.3,7.3,61,10,0.2,15,30.165077845255535,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL9,2025-06-18,2,31.5,8.65,8.5,25,10,0.2,10,30.319406509399414,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI1,2025-02-05,0,NA,NA,11,NA,NA,0.2,0,27.719019571940105,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI10,2025-05-29,2,47,14,12,25,8,0.2,10,30.615158081054688,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI11,2025-05-29,0,NA,NA,12,25,8,0.2,0,30.615158081054688,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI12,2025-06-18,1,43,12.8,15.3,44,10,0.2,5,30.319406509399414,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI13,2025-08-07,4,27,15.25,12.6,25,20,0.2,20,30.214934666951496,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI14,2025-09-24,3,44.666666666666664,14.633333333333333,12.4,20,15,0.2,15,29.59722836812337,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI15,2025-10-02,2,42,13.25,10.8,47,15,0.2,10,29.941949208577473,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI16,2026-02-25,3,42.333333333333336,14.666666666666666,14,30,3,0.2,15,28.996610005696613,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI17,2026-02-25,1,53,10,10,30,3,0.2,5,28.996610005696613,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI18,2026-03-26,0,NA,NA,10,22,4,0.2,0,29.379878362019856,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI19,2026-04-16,0,NA,NA,9.8,30,17,0.2,0,30.815919240315754,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI2,2025-03-21,0,NA,NA,10,30,18,0.2,0,29.19139798482259,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI20,2026-05-28,0,NA,NA,12.4,30,2,0.2,0,30.286492029825848,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI3,2025-03-25,2,36,16.75,16,25,9,0.2,10,29.67974917093913,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI4,2025-03-25,1,42,14.4,11.3,25,9,0.2,5,29.67974917093913,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI5,2025-04-02,0,NA,NA,11.9,55,12,0.2,0,29.6018492380778,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI6,2025-04-07,0,NA,NA,11,NA,NA,0.2,0,29.51802698771159,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI7,2025-04-07,0,NA,NA,11,NA,NA,0.2,0,29.51802698771159,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI8,2025-05-06,0,NA,NA,8,NA,10,0.2,0,30.999684015909832,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI9,2025-05-06,0,NA,NA,8,NA,10,0.2,0,30.999684015909832,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB1,2025-06-24,1,35,10.8,10,50,8,0.2,5,29.990393956502277,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB2,2025-08-11,1,32,8.7,8.3,22,10,0.2,5,30.103479385375977,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB3,2025-09-01,0,NA,NA,9,15,15,0.2,0,29.461589813232422,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB4,2025-09-30,1,44,10.6,9.1,20,8,0.2,5,29.3260014851888,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB5,2025-09-30,1,28,10.5,8.5,20,8,0.2,5,29.3260014851888,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB6,2026-02-10,0,NA,NA,9.5,30,15,0.2,0,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB7,2026-04-20,1,62,8.5,8,25,15,0.2,5,30.950791041056316,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB8,2026-05-12,0,NA,NA,8,25,2,0.2,0,30.500207265218098,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB9,2026-06-15,1,50.4,10.2,7.9,30,12,0.2,5,30.751008987426758,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR1,2020-05-19,9,42.55555555555556,9.944444444444445,10,50,12,0.2,45,31.39699935913086,MULTIOBS_to_surface
Green Rock,GR,High Density,GR10,2020-08-18,9,35.55555555555556,11.61111111111111,12,45,12,0.2,45,30.150999069213867,MULTIOBS_to_surface
Green Rock,GR,High Density,GR11,2020-08-21,4,42.5,11.5,12,45,12,0.2,20,29.968000411987305,MULTIOBS_to_surface
Green Rock,GR,High Density,GR12,2020-08-21,6,34.166666666666664,7.583333333333333,6,45,18,0.2,30,29.968000411987305,MULTIOBS_to_surface
Green Rock,GR,High Density,GR13,2020-09-22,8,45,9.75,10,45,7,0.2,40,29.763999938964844,MULTIOBS_to_surface
Green Rock,GR,High Density,GR14,2020-09-27,9,43.888888888888886,10.777777777777779,10,45,18,0.2,45,30.257999420166016,MULTIOBS_to_surface
Green Rock,GR,High Density,GR15,2020-09-29,9,41.666666666666664,10.055555555555555,10,45,18,0.2,45,29.594999313354492,MULTIOBS_to_surface
Green Rock,GR,High Density,GR16,2022-10-20,10,37.5,11.3,10,45,18,0.2,50,28.364999771118164,MULTIOBS_to_surface
Green Rock,GR,High Density,GR17,2022-11-22,6,40.833333333333336,13.266666666666666,10,45,7,0.2,30,28.34600067138672,MULTIOBS_to_surface
Green Rock,GR,High Density,GR18,2023-10-04,5,40,13.4,13,30,12,0.2,25,29.115999221801758,MULTIOBS_to_surface
Green Rock,GR,High Density,GR19,2024-02-03,3,40,10.4,12,20,12,0.2,15,29.20400047302246,MULTIOBS_to_surface
Green Rock,GR,High Density,GR2,2020-05-19,10,37,10.13,10,50,12,0.2,50,31.39699935913086,MULTIOBS_to_surface
Green Rock,GR,High Density,GR20,2024-02-20,11,46.36363636363637,9.727272727272727,11,20,12,0.2,55,29.298999786376953,MULTIOBS_to_surface
Green Rock,GR,High Density,GR21,2024-03-25,5,40,12.2,10,20,NA,0.2,25,29.767000198364258,MULTIOBS_to_surface
Green Rock,GR,High Density,GR22,2024-04-09,7,50.142857142857146,9.857142857142858,10,30,10,0.2,35,30.674999237060547,MULTIOBS_to_surface
Green Rock,GR,High Density,GR23,2024-04-16,8,49.25,12.375,13,21,12,0.2,40,31.201000213623047,MULTIOBS_to_surface
Green Rock,GR,High Density,GR24,2024-06-04,8,45.875,11.85,11,23,20,0.2,40,31.54400062561035,MULTIOBS_to_surface
Green Rock,GR,High Density,GR25,2024-08-03,6,45,10.5,11,28,20,0.2,30,29.940000534057617,MULTIOBS_to_surface
Green Rock,GR,High Density,GR26,2024-08-26,14,47.142857142857146,11.114285714285714,10,35,20,0.2,70,30.496000289916992,MULTIOBS_to_surface
Green Rock,GR,High Density,GR27,2024-10-16,11,43.36363636363637,12.045454545454545,12,45,12,0.2,55,30.746000289916992,MULTIOBS_to_surface
Green Rock,GR,High Density,GR28,2024-10-21,4,36.5,12.75,12,45,12,0.2,20,29.77400016784668,MULTIOBS_to_surface
Green Rock,GR,High Density,GR29,2025-01-29,9,41.611111111111114,12.177777777777777,10,35,10,0.2,45,27.390260696411133,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR3,2020-05-26,10,35.5,10.9,10,50,12,0.2,50,31.150999069213867,MULTIOBS_to_surface
Green Rock,GR,High Density,GR30,2025-02-19,4,49.5,11.15,10,35,10,0.2,20,28.71000035603841,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR31,2025-02-28,3,41,9.8,10,35,10,0.2,15,28.246647516886394,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR32,2025-03-19,4,37.25,10.625,10.3,30,15,0.2,20,29.571094512939453,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR33,2025-03-26,10,44.5,10.93,10.1,60,12,0.2,50,29.80489222208659,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR34,2025-04-22,2,46.5,8.45,12,25,18,0.2,10,30.603256861368816,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR35,2025-05-21,4,47.5,11,10.1,60,12,0.2,20,30.874474207560223,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR36,2025-06-05,11,42.18181818181818,11.554545454545455,10,65,10,0.2,55,30.526025772094727,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR37,2025-09-16,3,37.333333333333336,11.5,11.2,50,13,0.2,15,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR38,2025-09-16,13,44.46153846153846,9.292307692307693,7.5,50,13,0.2,65,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR39,2025-09-16,11,44.18181818181818,9.8,9.8,50,13,0.2,55,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR4,2020-07-13,11,36.81818181818182,10.454545454545455,10,45,12,0.2,55,30.141000747680664,MULTIOBS_to_surface
Green Rock,GR,High Density,GR40,2025-10-21,3,44.666666666666664,12.966666666666667,12.7,22,10,0.2,15,29.65582021077474,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR41,2026-01-19,6,38.5,11.716666666666667,12,25,6,0.2,30,27.8167781829834,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR42,2026-02-10,11,45.09090909090909,9.3,10,30,10,0.2,55,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR43,2026-03-19,4,51.25,10.825,10.4,30,6,0.2,20,28.799495061238606,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR44,2026-04-15,2,34.5,11.149999999999999,9.5,25,20,0.2,10,30.790016810099285,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR45,2026-05-22,2,51,13,10,30,5,0.2,10,30.42880376180013,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR46,2026-06-09,2,37,10.85,10,31,9,0.2,10,30.335717519124348,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR5,2020-07-13,9,40,10.055555555555555,10,45,12,0.2,45,30.141000747680664,MULTIOBS_to_surface
Green Rock,GR,High Density,GR6,2020-07-19,3,40,9.833333333333334,10,50,12,0.2,15,30.361000061035156,MULTIOBS_to_surface
Green Rock,GR,High Density,GR7,2020-08-06,8,33.75,9.8125,10,45,18,0.2,40,29.945999145507812,MULTIOBS_to_surface
Green Rock,GR,High Density,GR8,2020-08-15,7,38.57142857142857,11.571428571428571,10,45,12,0.2,35,29.79800033569336,MULTIOBS_to_surface
Green Rock,GR,High Density,GR9,2020-08-16,7,37.857142857142854,9.5,8,45,12,0.2,35,29.840999603271484,MULTIOBS_to_surface
Red Rock,RR,High Density,RR1,2023-04-01,5,42,10,12,25,12,0.2,25,29.663999557495117,MULTIOBS_to_surface
Red Rock,RR,High Density,RR10,2024-05-25,8,49.875,11.375,12,21,15,0.2,40,30.738000869750977,MULTIOBS_to_surface
Red Rock,RR,High Density,RR11,2024-07-04,6,42.916666666666664,11.083333333333334,10,21,10,0.2,30,30.187000274658203,MULTIOBS_to_surface
Red Rock,RR,High Density,RR12,2024-08-14,8,42.125,12.75,13,32,20,0.2,40,30.38599967956543,MULTIOBS_to_surface
Red Rock,RR,High Density,RR13,2024-08-25,8,46.125,9.625,11,27,15,0.2,40,30.04400062561035,MULTIOBS_to_surface
Red Rock,RR,High Density,RR14,2024-09-04,7,44,10.357142857142858,11,27,8,0.2,35,30.054000854492188,MULTIOBS_to_surface
Red Rock,RR,High Density,RR15,2024-09-12,6,40.666666666666664,11.366666666666667,10,27,10,0.2,30,29.632999420166016,MULTIOBS_to_surface
Red Rock,RR,High Density,RR16,2024-10-21,2,48.5,10.85,12,30,6,0.2,10,29.77400016784668,MULTIOBS_to_surface
Red Rock,RR,High Density,RR17,2025-01-29,4,38.5,10.375,9.2,30,5,0.2,20,27.390260696411133,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR18,2025-02-12,5,46.6,10.48,8.6,NA,10,0.2,25,28.364680608113606,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR19,2025-04-08,5,46.4,9.76,10,NA,12,0.2,25,29.579434712727863,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR2,2023-05-03,10,43,10.7,11,20,12,0.2,50,30.770000457763672,MULTIOBS_to_surface
Red Rock,RR,High Density,RR20,2025-05-21,8,47.375,13.1625,12,67,15,0.2,40,30.874474207560223,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR21,2025-05-26,6,48.166666666666664,11.033333333333333,11.7,54,7,0.2,30,30.475194295247395,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR22,2025-06-05,11,41,12.836363636363636,10.2,50,10,0.2,55,30.526025772094727,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR23,2025-06-11,5,46.8,11.22,10,55,12,0.2,25,30.113335927327473,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR24,2025-06-25,8,38.325,9,12,29,8,0.2,40,30.128163019816082,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR25,2025-09-16,5,37.4,14.9,11.9,50,13,0.2,25,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR26,2025-09-16,3,36,10.833333333333334,11.9,50,13,0.2,15,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR27,2025-10-07,7,42.42857142857143,13.7,11.9,25,15,0.2,35,29.62517738342285,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR28,2026-01-19,9,50,9.11111111111111,10,30,7,0.2,45,27.8167781829834,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR29,2026-02-10,7,42.57142857142857,10.242857142857142,9.4,25,8,0.2,35,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR3,2023-10-01,3,42.666666666666664,10.666666666666666,NA,24,12,0.2,15,29.16200065612793,MULTIOBS_to_surface
Red Rock,RR,High Density,RR30,2026-03-02,6,47.5,16.016666666666666,12,35,12,0.2,30,29.48486391703288,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR31,2026-04-15,6,44.833333333333336,10.616666666666667,9.8,22,20,0.2,30,30.790016810099285,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR32,2026-05-22,4,44.25,8.725,10,25,7,0.2,20,30.42880376180013,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR33,2026-06-09,7,44.57142857142857,11.057142857142857,16,30,8,0.2,35,30.335717519124348,ANALYSISFORECAST_thetao_0.49m
Red Rock,RR,High Density,RR4,2023-09-30,5,40.2,11.6,12,40,12,0.2,25,29.371999740600586,MULTIOBS_to_surface
Red Rock,RR,High Density,RR5,2023-10-04,3,38.333333333333336,13,11,35,NA,0.2,15,29.115999221801758,MULTIOBS_to_surface
Red Rock,RR,High Density,RR6,2024-01-31,6,44.166666666666664,10.75,12,22,12,0.2,30,28.423999786376953,MULTIOBS_to_surface
Red Rock,RR,High Density,RR7,2024-03-24,3,51.666666666666664,12.333333333333334,11,25,NA,0.2,15,29.7450008392334,MULTIOBS_to_surface
Red Rock,RR,High Density,RR8,2024-04-06,2,55,12.5,12,22,10,0.2,10,30.56800079345703,MULTIOBS_to_surface
Red Rock,RR,High Density,RR9,2024-05-21,6,44.166666666666664,12.166666666666666,11,22,10,0.2,30,31.270000457763672,MULTIOBS_to_surface
Twins,TW,High Density,TW1,2024-09-11,15,40.86666666666667,10.48,NA,NA,15,0.2,75,29.780000686645508,MULTIOBS_to_surface
Twins,TW,High Density,TW10,2025-05-12,10,47.4,7.78,8,58,20,0.2,50,30.70172945658366,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW11,2025-06-16,6,44.333333333333336,7.916666666666666,8,40,20,0.2,30,30.405067443847656,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW12,2025-06-26,9,43.55555555555556,9.5,7,25,6,0.2,45,30.21178436279297,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW13,2025-08-06,11,49.27272727272727,8.418181818181818,9,33,20,0.2,55,30.24576759338379,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW14,2025-08-14,8,43.25,10.5125,8.9,30,15,0.2,40,29.967692057291668,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW15,2025-09-04,9,41.333333333333336,9.922222222222222,9.4,21,10,0.2,45,29.52331034342448,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW16,2025-10-07,3,43.666666666666664,9.133333333333333,8,25,12,0.2,15,29.62517738342285,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW17,2026-02-09,3,42.666666666666664,10.133333333333333,9.2,35,10,0.2,15,28.03335698445638,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW18,2026-02-24,3,49.666666666666664,9.533333333333333,8,30,10,0.2,15,28.755388895670574,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW19,2026-03-16,8,43.5,9.3125,8.7,35,15,0.2,40,28.676531473795574,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW2,2025-01-28,6,32.166666666666664,7.833333333333333,8,25,15,0.2,30,27.44678497314453,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW20,2026-04-21,1,51,10.2,8.1,34,8,0.2,5,31.13719876607259,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW21,2026-05-11,0,NA,NA,10,25,6,0.2,0,30.56287447611491,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW22,2026-06-08,10,40.2,7.9799999999999995,8.5,30,15,0.2,50,30.348002751668293,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW3,2025-02-04,5,38.2,5.86,6.6,56,15,0.2,25,27.557811737060547,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW4,2025-02-10,1,30,7.2,7.8,51,18,0.2,5,27.892098744710285,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW5,2025-02-12,9,42.22222222222222,6.977777777777778,7.3,58,20,0.2,45,28.364680608113606,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW6,2025-03-04,3,43,8.766666666666666,8,25,8,0.2,15,28.856069564819336,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW7,2025-03-24,2,42.5,8.75,8.1,58,16,0.2,10,29.69748878479004,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW8,2025-03-24,3,42.333333333333336,6.6,8,25,15,0.2,15,29.69748878479004,ANALYSISFORECAST_thetao_0.49m
Twins,TW,High Density,TW9,2025-04-01,3,48.333333333333336,6.5,9.2,57,11,0.2,15,29.643699645996094,ANALYSISFORECAST_thetao_0.49m
