Site,Location,Date,Quadrat,Point,Substrate,Genus,MORPH
Twins Wall,Wall,2024-05-01,1,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,2,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,4,SP,NA,NA
Twins Wall,Wall,2024-05-01,1,5,HC,NA,ENC
Twins Wall,Wall,2024-05-01,1,6,HC,Acropora,BR
Twins Wall,Wall,2024-05-01,1,7,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,8,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,9,HC,Favites,MASS
Twins Wall,Wall,2024-05-01,1,10,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,11,HC,Pavona,MASS
Twins Wall,Wall,2024-05-01,1,12,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,13,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,14,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,15,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,1,16,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,17,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,1,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,19,HC,Favites,NA
Twins Wall,Wall,2024-05-01,1,20,HC,NA,MASS
Twins Wall,Wall,2024-05-01,2,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,2,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,3,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,2,4,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,2,5,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,6,HC,NA,ENC
Twins Wall,Wall,2024-05-01,2,7,HC,Porites,BR
Twins Wall,Wall,2024-05-01,2,8,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,9,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,2,10,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,11,RU,NA,NA
Twins Wall,Wall,2024-05-01,2,12,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,13,HC,Favites,BR
Twins Wall,Wall,2024-05-01,2,14,RU,NA,NA
Twins Wall,Wall,2024-05-01,2,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,16,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,19,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,20,HC,Porites,ENC
Twins Wall,Wall,2024-05-01,3,1,HC,NA,MASS
Twins Wall,Wall,2024-05-01,3,2,HC,Favites,NA
Twins Wall,Wall,2024-05-01,3,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,4,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,5,HC,NA,NA
Twins Wall,Wall,2024-05-01,3,6,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,7,SC,NA,NA
Twins Wall,Wall,2024-05-01,3,8,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,3,9,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,10,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,3,11,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,12,HC,Acropora,SUBM
Twins Wall,Wall,2024-05-01,3,13,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,3,14,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,16,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,17,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,19,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,20,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,4,1,RU,NA,NA
Twins Wall,Wall,2024-05-01,4,2,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,4,3,RU,NA,NA
Twins Wall,Wall,2024-05-01,4,4,HC,Porites,ENC
Twins Wall,Wall,2024-05-01,4,5,SP,NA,NA
Twins Wall,Wall,2024-05-01,4,6,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,7,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,8,SP,NA,NA
Twins Wall,Wall,2024-05-01,4,9,RU,NA,NA
Twins Wall,Wall,2024-05-01,4,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,11,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,12,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,13,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,14,HC,Pavona,NA
Twins Wall,Wall,2024-05-01,4,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,16,RU,NA,NA
Twins Wall,Wall,2024-05-01,4,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,4,18,HC,Pavona,ENC
Twins Wall,Wall,2024-05-01,4,19,HC,Pavona,NA
Twins Wall,Wall,2024-05-01,4,20,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,1,HC,NA,MASS
Twins Wall,Wall,2024-05-01,5,2,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,3,HC,NA,MASS
Twins Wall,Wall,2024-05-01,5,4,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,5,5,RU,NA,NA
Twins Wall,Wall,2024-05-01,5,6,HC,Acropora,MASS
Twins Wall,Wall,2024-05-01,5,7,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,8,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,9,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,11,RU,NA,NA
Twins Wall,Wall,2024-05-01,5,12,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,13,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,14,SC,NA,NA
Twins Wall,Wall,2024-05-01,5,15,SC,NA,NA
Twins Wall,Wall,2024-05-01,5,16,RU,NA,NA
Twins Wall,Wall,2024-05-01,5,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,5,18,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,5,19,RU,NA,NA
Twins Wall,Wall,2024-05-01,5,20,HC,NA,NA
Twins Wall,Wall,2024-05-01,6,1,HC,Acropora,NA
Twins Wall,Wall,2024-05-01,6,2,RK,NA,NA
Twins Wall,Wall,2024-05-01,6,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,6,4,HC,NA,NA
Twins Wall,Wall,2024-05-01,6,5,SC,NA,NA
Twins Wall,Wall,2024-05-01,6,6,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,6,7,RU,NA,NA
Twins Wall,Wall,2024-05-01,6,8,RU,NA,NA
Twins Wall,Wall,2024-05-01,6,9,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,6,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,6,11,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,6,12,SP,NA,NA
Twins Wall,Wall,2024-05-01,6,13,RU,NA,NA
Twins Wall,Wall,2024-05-01,6,14,HC,NA,ENC
Twins Wall,Wall,2024-05-01,6,15,HC,NA,MASS
Twins Wall,Wall,2024-05-01,6,16,HC,NA,BR
Twins Wall,Wall,2024-05-01,6,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,6,18,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,6,19,HC,Acropora,BR
Twins Wall,Wall,2024-05-01,6,20,SP,NA,NA
Twins Wall,Wall,2024-05-01,7,1,HC,Porites,MASS
Twins Wall,Wall,2024-05-01,7,2,HC,Acropora,ENC
Twins Wall,Wall,2024-05-01,7,3,HC,Favites,SUBM
Twins Wall,Wall,2024-05-01,7,4,HC,NA,ENC
Twins Wall,Wall,2024-05-01,7,5,RU,NA,NA
Twins Wall,Wall,2024-05-01,7,6,HC,Pavona,NA
Twins Wall,Wall,2024-05-01,7,7,SC,NA,NA
Twins Wall,Wall,2024-05-01,7,8,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,7,9,RK,NA,NA
Twins Wall,Wall,2024-05-01,7,10,RU,NA,NA
Twins Wall,Wall,2024-05-01,7,11,SC,NA,NA
Twins Wall,Wall,2024-05-01,7,12,HC,Porites,NA
Twins Wall,Wall,2024-05-01,7,13,HC,Acropora,ENC
Twins Wall,Wall,2024-05-01,7,14,SC,NA,NA
Twins Wall,Wall,2024-05-01,7,15,SP,NA,NA
Twins Wall,Wall,2024-05-01,7,16,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,7,17,SP,NA,NA
Twins Wall,Wall,2024-05-01,7,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,7,19,RU,NA,NA
Twins Wall,Wall,2024-05-01,7,20,HC,Pavona,BR
Twins Wall,Wall,2024-05-01,8,1,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,2,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,3,HC,NA,MASS
Twins Wall,Wall,2024-05-01,8,4,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,5,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,6,SP,NA,NA
Twins Wall,Wall,2024-05-01,8,7,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,8,SC,NA,NA
Twins Wall,Wall,2024-05-01,8,9,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,11,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,12,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,13,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,14,HC,Pavona,BR
Twins Wall,Wall,2024-05-01,8,15,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,16,RU,NA,NA
Twins Wall,Wall,2024-05-01,8,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,19,RK,NA,NA
Twins Wall,Wall,2024-05-01,8,20,RU,NA,NA
Twins Wall,Wall,2024-05-01,9,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,9,2,HC,Favites,MASS
Twins Wall,Wall,2024-05-01,9,3,HC,Pavona,BR
Twins Wall,Wall,2024-05-01,9,4,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,5,HC,Favites,NA
Twins Wall,Wall,2024-05-01,9,6,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,7,HC,Porites,MASS
Twins Wall,Wall,2024-05-01,9,8,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,9,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,11,RU,NA,NA
Twins Wall,Wall,2024-05-01,9,12,HC,NA,NA
Twins Wall,Wall,2024-05-01,9,13,HC,Pavona,NA
Twins Wall,Wall,2024-05-01,9,14,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,9,15,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,9,16,RK,NA,NA
Twins Wall,Wall,2024-05-01,9,17,SP,NA,NA
Twins Wall,Wall,2024-05-01,9,18,HC,Acropora,MASS
Twins Wall,Wall,2024-05-01,9,19,RU,NA,NA
Twins Wall,Wall,2024-05-01,9,20,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,10,2,SP,NA,NA
Twins Wall,Wall,2024-05-01,10,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,4,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,5,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,6,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,7,SC,NA,NA
Twins Wall,Wall,2024-05-01,10,8,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,9,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,10,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,11,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,12,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,13,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,14,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,16,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,17,HC,Porites,MASS
Twins Wall,Wall,2024-05-01,10,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,10,19,RU,NA,NA
Twins Wall,Wall,2024-05-01,10,20,RU,NA,NA
Twins Wall,Wall,2024-11-01,1,1,SC,NA,NA
Twins Wall,Wall,2024-11-01,1,2,HC,Porites,NA
Twins Wall,Wall,2024-11-01,1,3,SP,NA,NA
Twins Wall,Wall,2024-11-01,1,4,HC,NA,ENC
Twins Wall,Wall,2024-11-01,1,5,RK,NA,NA
Twins Wall,Wall,2024-11-01,1,6,HC,Porites,ENC
Twins Wall,Wall,2024-11-01,1,7,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,1,8,HC,Pavona,NA
Twins Wall,Wall,2024-11-01,1,9,RK,NA,NA
Twins Wall,Wall,2024-11-01,1,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,1,11,HC,Porites,SUBM
Twins Wall,Wall,2024-11-01,1,12,HC,Pavona,NA
Twins Wall,Wall,2024-11-01,1,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,1,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,1,15,HC,Acropora,BR
Twins Wall,Wall,2024-11-01,1,16,SP,NA,NA
Twins Wall,Wall,2024-11-01,1,17,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,1,18,HC,Porites,ENC
Twins Wall,Wall,2024-11-01,1,19,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,1,20,SC,NA,NA
Twins Wall,Wall,2024-11-01,2,1,HC,NA,ENC
Twins Wall,Wall,2024-11-01,2,2,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,3,HC,Favites,MASS
Twins Wall,Wall,2024-11-01,2,4,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,2,5,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,6,SP,NA,NA
Twins Wall,Wall,2024-11-01,2,7,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,8,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,9,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,11,HC,Pavona,ENC
Twins Wall,Wall,2024-11-01,2,12,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,15,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,2,16,SP,NA,NA
Twins Wall,Wall,2024-11-01,2,17,RK,NA,NA
Twins Wall,Wall,2024-11-01,2,18,SP,NA,NA
Twins Wall,Wall,2024-11-01,2,19,HC,Pavona,BR
Twins Wall,Wall,2024-11-01,2,20,HC,Pavona,SUBM
Twins Wall,Wall,2024-11-01,3,1,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,2,HC,NA,ENC
Twins Wall,Wall,2024-11-01,3,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,4,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,5,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,3,6,HC,Acropora,SUBM
Twins Wall,Wall,2024-11-01,3,7,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,8,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,9,HC,Porites,ENC
Twins Wall,Wall,2024-11-01,3,10,SC,NA,NA
Twins Wall,Wall,2024-11-01,3,11,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,12,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,14,HC,Favites,SUBM
Twins Wall,Wall,2024-11-01,3,15,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,16,SP,NA,NA
Twins Wall,Wall,2024-11-01,3,17,RK,NA,NA
Twins Wall,Wall,2024-11-01,3,18,HC,NA,MASS
Twins Wall,Wall,2024-11-01,3,19,HC,Acropora,MASS
Twins Wall,Wall,2024-11-01,3,20,HC,Favites,SUBM
Twins Wall,Wall,2024-11-01,4,1,RU,NA,NA
Twins Wall,Wall,2024-11-01,4,2,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,4,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,4,5,HC,Porites,NA
Twins Wall,Wall,2024-11-01,4,6,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,7,SP,NA,NA
Twins Wall,Wall,2024-11-01,4,8,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,9,SC,NA,NA
Twins Wall,Wall,2024-11-01,4,10,SC,NA,NA
Twins Wall,Wall,2024-11-01,4,11,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,12,RU,NA,NA
Twins Wall,Wall,2024-11-01,4,13,HC,Acropora,ENC
Twins Wall,Wall,2024-11-01,4,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,15,SC,NA,NA
Twins Wall,Wall,2024-11-01,4,16,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,17,RK,NA,NA
Twins Wall,Wall,2024-11-01,4,18,HC,NA,ENC
Twins Wall,Wall,2024-11-01,4,19,HC,Acropora,SUBM
Twins Wall,Wall,2024-11-01,4,20,HC,Acropora,ENC
Twins Wall,Wall,2024-11-01,5,1,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,5,2,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,4,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,5,5,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,6,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,7,HC,Pavona,SUBM
Twins Wall,Wall,2024-11-01,5,8,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,9,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,11,SP,NA,NA
Twins Wall,Wall,2024-11-01,5,12,RU,NA,NA
Twins Wall,Wall,2024-11-01,5,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,14,HC,NA,BR
Twins Wall,Wall,2024-11-01,5,15,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,16,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,17,RU,NA,NA
Twins Wall,Wall,2024-11-01,5,18,HC,Porites,SUBM
Twins Wall,Wall,2024-11-01,5,19,RK,NA,NA
Twins Wall,Wall,2024-11-01,5,20,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,1,HC,Acropora,BR
Twins Wall,Wall,2024-11-01,6,2,HC,Pavona,BR
Twins Wall,Wall,2024-11-01,6,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,4,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,5,SC,NA,NA
Twins Wall,Wall,2024-11-01,6,6,SC,NA,NA
Twins Wall,Wall,2024-11-01,6,7,HC,NA,ENC
Twins Wall,Wall,2024-11-01,6,8,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,9,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,11,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,12,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,6,13,HC,NA,NA
Twins Wall,Wall,2024-11-01,6,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,15,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,16,SC,NA,NA
Twins Wall,Wall,2024-11-01,6,17,RK,NA,NA
Twins Wall,Wall,2024-11-01,6,18,HC,Porites,NA
Twins Wall,Wall,2024-11-01,6,19,SC,NA,NA
Twins Wall,Wall,2024-11-01,6,20,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,7,1,HC,NA,BR
Twins Wall,Wall,2024-11-01,7,2,HC,Pavona,NA
