Site,Location,Date,Quadrat,Point,Substrate,Genus,MORPH
Twins Wall,Wall,2024-11-01,7,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,7,4,RK,NA,NA
Twins Wall,Wall,2024-11-01,7,5,HC,Favites,SUBM
Twins Wall,Wall,2024-11-01,7,6,SC,NA,NA
Twins Wall,Wall,2024-11-01,7,7,HC,NA,NA
Twins Wall,Wall,2024-11-01,7,8,SP,NA,NA
Twins Wall,Wall,2024-11-01,7,9,RU,NA,NA
Twins Wall,Wall,2024-11-01,7,10,RU,NA,NA
Twins Wall,Wall,2024-11-01,7,11,SC,NA,NA
Twins Wall,Wall,2024-11-01,7,12,RK,NA,NA
Twins Wall,Wall,2024-11-01,7,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,7,14,HC,Favites,NA
Twins Wall,Wall,2024-11-01,7,15,RU,NA,NA
Twins Wall,Wall,2024-11-01,7,16,HC,Porites,NA
Twins Wall,Wall,2024-11-01,7,17,HC,Acropora,BR
Twins Wall,Wall,2024-11-01,7,18,RK,NA,NA
Twins Wall,Wall,2024-11-01,7,19,SP,NA,NA
Twins Wall,Wall,2024-11-01,7,20,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,1,HC,Favites,BR
Twins Wall,Wall,2024-11-01,8,2,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,3,SP,NA,NA
Twins Wall,Wall,2024-11-01,8,4,HC,Favites,NA
Twins Wall,Wall,2024-11-01,8,5,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,6,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,7,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,8,8,HC,Acropora,ENC
Twins Wall,Wall,2024-11-01,8,9,SP,NA,NA
Twins Wall,Wall,2024-11-01,8,10,SC,NA,NA
Twins Wall,Wall,2024-11-01,8,11,HC,Acropora,SUBM
Twins Wall,Wall,2024-11-01,8,12,HC,Porites,BR
Twins Wall,Wall,2024-11-01,8,13,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,8,15,RU,NA,NA
Twins Wall,Wall,2024-11-01,8,16,HC,Acropora,SUBM
Twins Wall,Wall,2024-11-01,8,17,RU,NA,NA
Twins Wall,Wall,2024-11-01,8,18,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,8,19,HC,Pavona,SUBM
Twins Wall,Wall,2024-11-01,8,20,HC,Favites,SUBM
Twins Wall,Wall,2024-11-01,9,1,HC,Porites,BR
Twins Wall,Wall,2024-11-01,9,2,HC,NA,SUBM
Twins Wall,Wall,2024-11-01,9,3,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,4,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,9,5,HC,NA,MASS
Twins Wall,Wall,2024-11-01,9,6,HC,Pavona,NA
Twins Wall,Wall,2024-11-01,9,7,HC,NA,ENC
Twins Wall,Wall,2024-11-01,9,8,SC,NA,NA
Twins Wall,Wall,2024-11-01,9,9,HC,Favites,NA
Twins Wall,Wall,2024-11-01,9,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,11,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,12,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,13,RU,NA,NA
Twins Wall,Wall,2024-11-01,9,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,15,RU,NA,NA
Twins Wall,Wall,2024-11-01,9,16,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,9,17,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,18,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,19,RK,NA,NA
Twins Wall,Wall,2024-11-01,9,20,SP,NA,NA
Twins Wall,Wall,2024-11-01,10,1,HC,Acropora,ENC
Twins Wall,Wall,2024-11-01,10,2,HC,Pavona,ENC
Twins Wall,Wall,2024-11-01,10,3,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,10,4,RK,NA,NA
Twins Wall,Wall,2024-11-01,10,5,HC,Porites,MASS
Twins Wall,Wall,2024-11-01,10,6,SP,NA,NA
Twins Wall,Wall,2024-11-01,10,7,RK,NA,NA
Twins Wall,Wall,2024-11-01,10,8,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,10,9,RK,NA,NA
Twins Wall,Wall,2024-11-01,10,10,RK,NA,NA
Twins Wall,Wall,2024-11-01,10,11,SP,NA,NA
Twins Wall,Wall,2024-11-01,10,12,HC,Pavona,MASS
Twins Wall,Wall,2024-11-01,10,13,HC,Favites,ENC
Twins Wall,Wall,2024-11-01,10,14,RK,NA,NA
Twins Wall,Wall,2024-11-01,10,15,RU,NA,NA
Twins Wall,Wall,2024-11-01,10,16,HC,Porites,ENC
Twins Wall,Wall,2024-11-01,10,17,UNKN,NA,NA
Twins Wall,Wall,2024-11-01,10,18,SC,NA,NA
Twins Wall,Wall,2024-11-01,10,19,HC,Acropora,ENC
Twins Wall,Wall,2024-11-01,10,20,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,1,HC,Porites,MASS
Green Rock Wall,Wall,2024-05-01,1,2,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,3,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,4,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,5,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,1,6,HC,Porites,ENC
Green Rock Wall,Wall,2024-05-01,1,7,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,1,8,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,1,9,HC,Acropora,ENC
Green Rock Wall,Wall,2024-05-01,1,10,HC,Acropora,NA
Green Rock Wall,Wall,2024-05-01,1,11,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,1,12,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,13,HC,Favites,BR
Green Rock Wall,Wall,2024-05-01,1,14,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,1,15,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,1,16,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,1,17,HC,Acropora,ENC
Green Rock Wall,Wall,2024-05-01,1,18,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,1,19,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,1,20,HC,Acropora,BR
Green Rock Wall,Wall,2024-05-01,2,1,HC,Acropora,BR
Green Rock Wall,Wall,2024-05-01,2,2,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,3,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,2,4,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,2,5,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,6,HC,Favites,ENC
Green Rock Wall,Wall,2024-05-01,2,7,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,8,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,2,9,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,10,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,11,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,12,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,13,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,14,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,2,15,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,2,16,HC,Pavona,MASS
Green Rock Wall,Wall,2024-05-01,2,17,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,2,18,HC,Pavona,ENC
Green Rock Wall,Wall,2024-05-01,2,19,HC,Favites,SUBM
Green Rock Wall,Wall,2024-05-01,2,20,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,1,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,2,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,3,3,HC,Favites,BR
Green Rock Wall,Wall,2024-05-01,3,4,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,3,5,HC,NA,SUBM
Green Rock Wall,Wall,2024-05-01,3,6,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,7,HC,Favites,BR
Green Rock Wall,Wall,2024-05-01,3,8,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,3,9,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,10,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,3,11,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,12,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,13,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,14,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,15,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,16,HC,NA,MASS
Green Rock Wall,Wall,2024-05-01,3,17,HC,Porites,MASS
Green Rock Wall,Wall,2024-05-01,3,18,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,3,19,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,3,20,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,4,1,HC,Pavona,MASS
Green Rock Wall,Wall,2024-05-01,4,2,HC,Favites,SUBM
Green Rock Wall,Wall,2024-05-01,4,3,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,4,4,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,4,5,HC,Acropora,BR
Green Rock Wall,Wall,2024-05-01,4,6,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,4,7,HC,Pavona,MASS
Green Rock Wall,Wall,2024-05-01,4,8,HC,NA,SUBM
Green Rock Wall,Wall,2024-05-01,4,9,HC,Acropora,BR
Green Rock Wall,Wall,2024-05-01,4,10,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,4,11,HC,Porites,ENC
Green Rock Wall,Wall,2024-05-01,4,12,HC,Favites,MASS
Green Rock Wall,Wall,2024-05-01,4,13,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,4,14,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,4,15,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,4,16,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,4,17,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,4,18,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,4,19,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,4,20,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,5,1,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,5,2,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,5,3,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,5,4,HC,Acropora,ENC
Green Rock Wall,Wall,2024-05-01,5,5,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,5,6,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,5,7,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,5,8,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,5,9,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,5,10,HC,Favites,NA
Green Rock Wall,Wall,2024-05-01,5,11,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,5,12,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,5,13,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,5,14,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,5,15,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,5,16,HC,Acropora,SUBM
Green Rock Wall,Wall,2024-05-01,5,17,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,5,18,HC,Favites,MASS
Green Rock Wall,Wall,2024-05-01,5,19,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,5,20,HC,Favites,NA
Green Rock Wall,Wall,2024-05-01,6,1,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,6,2,HC,NA,BR
Green Rock Wall,Wall,2024-05-01,6,3,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,6,4,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,6,5,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,6,6,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,6,7,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,6,8,HC,NA,MASS
Green Rock Wall,Wall,2024-05-01,6,9,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,6,10,HC,NA,SUBM
Green Rock Wall,Wall,2024-05-01,6,11,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,6,12,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,6,13,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,6,14,HC,Pavona,MASS
Green Rock Wall,Wall,2024-05-01,6,15,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,6,16,HC,Porites,ENC
Green Rock Wall,Wall,2024-05-01,6,17,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,6,18,HC,Pavona,BR
Green Rock Wall,Wall,2024-05-01,6,19,HC,Favites,ENC
Green Rock Wall,Wall,2024-05-01,6,20,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,1,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,7,2,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,7,3,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,7,4,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,7,5,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,6,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,7,HC,Porites,NA
Green Rock Wall,Wall,2024-05-01,7,8,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,7,9,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,10,HC,Pavona,SUBM
Green Rock Wall,Wall,2024-05-01,7,11,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,7,12,HC,Favites,MASS
Green Rock Wall,Wall,2024-05-01,7,13,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,7,14,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,15,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,16,HC,Pavona,ENC
Green Rock Wall,Wall,2024-05-01,7,17,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,7,18,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,19,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,7,20,HC,Porites,MASS
Green Rock Wall,Wall,2024-05-01,8,1,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,8,2,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,8,3,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,8,4,HC,Acropora,SUBM
Green Rock Wall,Wall,2024-05-01,8,5,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,8,6,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,8,7,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,8,8,HC,Porites,ENC
Green Rock Wall,Wall,2024-05-01,8,9,HC,Acropora,ENC
Green Rock Wall,Wall,2024-05-01,8,10,HC,Acropora,MASS
Green Rock Wall,Wall,2024-05-01,8,11,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,8,12,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,8,13,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,8,14,HC,Favites,NA
Green Rock Wall,Wall,2024-05-01,8,15,HC,Favites,SUBM
Green Rock Wall,Wall,2024-05-01,8,16,HC,Favites,SUBM
Green Rock Wall,Wall,2024-05-01,8,17,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,8,18,HC,NA,MASS
Green Rock Wall,Wall,2024-05-01,8,19,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,8,20,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,9,1,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,9,2,HC,NA,NA
Green Rock Wall,Wall,2024-05-01,9,3,HC,Acropora,SUBM
Green Rock Wall,Wall,2024-05-01,9,4,HC,Acropora,MASS
Green Rock Wall,Wall,2024-05-01,9,5,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,9,6,HC,NA,BR
Green Rock Wall,Wall,2024-05-01,9,7,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,9,8,HC,Acropora,MASS
Green Rock Wall,Wall,2024-05-01,9,9,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,9,10,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,9,11,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,9,12,HC,Acropora,MASS
Green Rock Wall,Wall,2024-05-01,9,13,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,9,14,HC,Favites,BR
Green Rock Wall,Wall,2024-05-01,9,15,HC,Porites,NA
Green Rock Wall,Wall,2024-05-01,9,16,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,9,17,HC,Porites,ENC
Green Rock Wall,Wall,2024-05-01,9,18,HC,Favites,ENC
Green Rock Wall,Wall,2024-05-01,9,19,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,9,20,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,1,HC,Pavona,NA
Green Rock Wall,Wall,2024-05-01,10,2,SC,NA,NA
Green Rock Wall,Wall,2024-05-01,10,3,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,4,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,5,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,10,6,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,7,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,10,8,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,10,9,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,10,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,10,11,HC,NA,ENC
Green Rock Wall,Wall,2024-05-01,10,12,SP,NA,NA
Green Rock Wall,Wall,2024-05-01,10,13,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,14,UNKN,NA,NA
Green Rock Wall,Wall,2024-05-01,10,15,RU,NA,NA
Green Rock Wall,Wall,2024-05-01,10,16,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,17,RK,NA,NA
Green Rock Wall,Wall,2024-05-01,10,18,HC,NA,NA
Green Rock Wall,Wall,2024-05-01,10,19,HC,Porites,MASS
Green Rock Wall,Wall,2024-05-01,10,20,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,1,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,2,HC,NA,NA
Green Rock Wall,Wall,2024-11-01,1,3,RU,NA,NA
Green Rock Wall,Wall,2024-11-01,1,4,HC,Pavona,NA
Green Rock Wall,Wall,2024-11-01,1,5,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,6,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,7,RU,NA,NA
Green Rock Wall,Wall,2024-11-01,1,8,HC,NA,BR
Green Rock Wall,Wall,2024-11-01,1,9,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,10,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,11,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,12,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,13,RK,NA,NA
Green Rock Wall,Wall,2024-11-01,1,14,HC,Favites,MASS
Green Rock Wall,Wall,2024-11-01,1,15,SP,NA,NA
Green Rock Wall,Wall,2024-11-01,1,16,SC,NA,NA
